 Constituent#,Name,Amplitude,Phase,Speed
1,M2,4.03,114.4,28.984104
2,S2,0.57,144.3,30.000000
3,N2,1.00, 88.1,28.439730
4,K1,0.37,191.7,15.041069
5,M4,0.10,163.7,57.968208
6,O1,0.35,195.0,13.943035
7,M6,0.02,338.1,86.952316
8,MK3,0.01,199.5,44.025173
9,S4,0.00,138.0,60.000000
10,MN4,0.03,120.1,57.423832
11,NU2,0.05,130.2,28.512583
12,S6,0.00,141.9,90.000000
13,MU2,0.15,276.0,27.968208
14,2N2,0.01,289.5,27.895355
15,OO1,0.00,286.0,16.139101
16,LAM,0.03,177.6,29.455626
17,S1,0.00,  1.0,15.000000
18,M1,0.00,187.1,14.496694
19,J1,0.00,172.3,15.585443
20,MM,0.01,215.8, 0.544375
21,SSA,0.00, 40.5, 0.082137
22,SA,0.00, 98.7, 0.041069
23,MSF,0.00, 31.6, 1.015896
24,MF,0.02,235.6, 1.098033
25,RHO,0.00,143.9,13.471515
26,Q1,0.04,162.3,13.398661
27,T2,0.00,124.7,29.958933
28,R2,0.01,289.5,30.041067
29,2Q1,0.00,176.8,12.854286
30,P1,0.13,201.8,14.958931
31,2SM2,0.01, 92.2, 31.01590
32,M3,0.01,163.9,43.476158
33,L2,0.21,196.7,29.528479
34,2MK3,0.01,241.9, 42.92714
35,K2,0.25,154.1,30.082138
36,M8,0.00, 79.8,115.93642
37,MS4,0.03,183.1,58.984104
