Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.043,327.5,28.9841042
2,S2,0.023,13.6,30.0000000
3,N2,0.000,0.0,28.4397295
4,K1,0.272,237.0,15.0410686
5,M4,0.000,0.0,57.9682084
6,O1,0.212,228.6,13.9430356
7,M6,0.000,0.0,86.9523127
8,MK3,0.000,0.0,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.000,0.0,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.000,0.0,27.9682084
14,2N2,0.000,0.0,27.8953548
15,OO1,0.010,223.2,16.1391017
16,LAM2,0.000,0.0,29.4556253
17,S1,0.014,237.6,15.0000000
18,M1,0.013,289.1,14.4966939
19,J1,0.014,236.9,15.5854433
20,MM,0.021,349.9,0.5443747
21,SSA,0.050,60.0,0.0821373
22,SA,0.195,184.9,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.047,353.1,1.0980331
25,RHO,0.008,225.0,13.4715145
26,Q1,0.037,210.4,13.3986609
27,T2,0.001,11.8,29.9589333
28,R2,0.000,0.0,30.0410667
29,2Q1,0.006,220.3,12.8542862
30,P1,0.086,237.6,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.000,0.0,29.5284789
34,2MK3,0.000,0.0,42.9271398
35,K2,0.006,17.3,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
