 Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.72,201.3,28.984104
2,S2,0.11,230.8,30.000000
3,N2,0.15,203.7,28.439730
4,K1,0.09,304.9,15.041069
5,M4,0.05, 14.5,57.968208
6,O1,0.07,324.2,13.943035
7,M6,0.08,137.3,86.952316
8,MK3,0.02,288.3,44.025173
9,S4,0.00, 62.1,60.000000
10,MN4,0.04, 38.1,57.423832
11,NU2,0.01,169.5,28.512583
12,S6,0.00, 57.4,90.000000
13,MU2,0.03,348.4,27.968208
14,2N2,0.00,261.1,27.895355
15,OO1,0.00,213.6,16.139101
16,LAM,0.01,223.7,29.455626
17,S1,0.00, 66.8,15.000000
18,M1,0.00,201.6,14.496694
19,J1,0.01,115.5,15.585443
20,MM,0.02,343.3, 0.544375
21,SSA,0.01, 15.1, 0.082137
22,SA,0.00,118.1, 0.041069
23,MSF,0.02, 28.4, 1.015896
24,MF,0.01,339.0, 1.098033
25,RHO,0.00,288.4,13.471515
26,Q1,0.01,275.5,13.398661
27,T2,0.00,106.7,29.958933
28,R2,0.00,261.1,30.041067
29,2Q1,0.00, 31.2,12.854286
30,P1,0.03,320.7,14.958931
31,2SM2,0.00, 65.9, 31.01590
32,M3,0.01,199.2,43.476158
33,L2,0.05,210.9,29.528479
34,2MK3,0.02,301.1, 42.92714
35,K2,0.05,261.5,30.082138
36,M8,0.01,282.0,115.93642
37,MS4,0.02,140.1,58.984104
