Constituent #,Name,Amplitude,Phase,Speed
1,,2.523,208.5,28.9841042
2,,0.49,221.2,30.0
3,,0.62,197.4,28.4397295
4,,0.28,110.5,15.0410686
5,,0.0,0.0,57.9682084
6,,0.262,122.0,13.9430356
7,,0.0,0.0,86.9523127
8,,0.0,0.0,44.0251729
9,,0.071,73.6,60.0
10,,0.0,0.0,57.4238337
11,,0.12,199.0,28.5125831
12,,0.0,0.0,90.0
13,,0.0,0.0,27.9682084
14,,0.082,186.5,27.8953548
15,,0.011,99.0,16.1391017
16,,0.018,214.5,29.4556253
17,,0.0,0.0,15.0
18,,0.019,116.2,14.4966939
19,,0.021,104.8,15.5854433
20,,0.0,0.0,0.5443747
21,,0.0,0.0,0.0821373
22,,0.0,0.0,0.0410686
23,,0.0,0.0,1.0158958
24,,0.0,0.0,1.0980331
25,,0.0,0.0,13.4715145
26,,0.051,127.7,13.3986609
27,,0.029,220.7,29.9589333
28,,0.0,0.0,30.0410667
29,,0.0,0.0,12.8542862
30,,0.093,110.9,14.9589314
31,,0.0,0.0,31.0158958
32,,0.0,0.0,43.4761563
33,,0.071,219.5,29.5284789
34,,0.0,0.0,42.9271398
35,,0.133,220.8,30.0821373
36,,0.0,0.0,115.9364166
37,,0.0,0.0,58.9841042
