Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.39, 71.1,28.984104
2,S2,0.22, 74.9,30.000000
3,N2,0.52, 54.7,28.439730
4,K1,0.27,179.4,15.041069
5,M4,0.20,341.0,57.968208
6,O1,0.25,198.6,13.943035
7,M6,0.05,241.4,86.952316
8,MK3,0.02, 15.3,44.025173
9,S4,0.00,359.8,60.000000
10,MN4,0.08,344.0,57.423832
11,NU2,0.02,149.9,28.512583
12,S6,0.00,239.0,90.000000
13,MU2,0.07,298.5,27.968208
14,2N2,0.00,313.9,27.895355
15,OO1,0.00,322.9,16.139101
16,LAM,0.01,213.4,29.455626
17,S1,0.00,105.0,15.000000
18,M1,0.00,276.0,14.496694
19,J1,0.00,227.6,15.585443
20,MM,0.03,  6.4, 0.544375
21,SSA,0.00,  5.5, 0.082137
22,SA,0.00,119.3, 0.041069
23,MSF,0.04, 29.5, 1.015896
24,MF,0.00,204.8, 1.098033
25,RHO,0.00,301.4,13.471515
26,Q1,0.04,169.9,13.398661
27,T2,0.00,147.7,29.958933
28,R2,0.00,313.9,30.041067
29,2Q1,0.00,350.2,12.854286
30,P1,0.10,194.0,14.958931
31,2SM2,0.00,117.4, 31.01590
32,M3,0.01,294.8,43.476158
33,L2,0.10,224.4,29.528479
34,2MK3,0.03,  5.8, 42.92714
35,K2,0.13,101.9,30.082138
36,M8,0.02,138.1,115.93642
37,MS4,0.00,295.6,58.984104
