Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.76,107.6,28.984104
2,S2,0.61,136.5,30.000000
3,N2,0.84,111.7,28.439730
4,K1,0.35,188.6,15.041069
5,M4,0.12,159.2,57.968208
6,O1,0.25,219.1,13.943035
7,M6,0.11,122.9,86.952316
8,MK3,0.03,213.6,44.025173
9,S4,0.00,191.4,60.000000
10,MN4,0.07,156.8,57.423832
11,NU2,0.03, 55.6,28.512583
12,S6,0.00, 54.9,90.000000
13,MU2,0.10,245.4,27.968208
14,2N2,0.01,166.8,27.895355
15,OO1,0.01, 14.6,16.139101
16,LAM,0.03,138.6,29.455626
17,S1,0.00,145.8,15.000000
18,M1,0.01,351.0,14.496694
19,J1,0.02,291.2,15.585443
20,MM,0.01,213.7, 0.544375
21,SSA,0.00, 28.1, 0.082137
22,SA,0.00,132.3, 0.041069
23,MSF,0.01, 35.4, 1.015896
24,MF,0.01,233.3, 1.098033
25,RHO,0.00, 32.3,13.471515
26,Q1,0.04,196.9,13.398661
27,T2,0.00,  5.3,29.958933
28,R2,0.01,166.8,30.041067
29,2Q1,0.00,201.0,12.854286
30,P1,0.12,213.1,14.958931
31,2SM2,0.01,342.0, 31.01590
32,M3,0.02,142.3,43.476158
33,L2,0.19,110.5,29.528479
34,2MK3,0.04,233.0, 42.92714
35,K2,0.26,168.6,30.082138
36,M8,0.01,163.1,115.93642
37,MS4,0.01,186.0,58.984104
