 Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.77,288.7,28.984104
2,S2,1.27,338.0,30.000000
3,N2,0.65,269.4,28.439730
4,K1,1.50,282.0,15.041069
5,M4,0.03, 48.5,57.968208
6,O1,1.05,267.9,13.943035
7,M6,0.0,0.0,86.952316
8,MK3,0.0,0.0,44.025173
9,S4,0.0,0.0,60.000000
10,MN4,0.01, 70.2,57.423832
11,NU2,0.0,0.0,28.512583
12,S6,0.0,0.0,90.000000
13,MU2,0.0,0.0,27.968208
14,2N2,0.0,0.0,27.895355
15,OO1,0.0,0.0,16.139101
16,LAM,0.0,0.0,29.455626
17,S1,0.0,0.0,15.000000
18,M1,0.0,0.0,14.496694
19,J1,0.0,0.0,15.585443
20,MM,0.04,172.1, 0.544375
21,SSA,0.0,0.0, 0.082137
22,SA,0.0,0.0, 0.041069
23,MSF,0.0,0.0, 1.015896
24,MF,0.07,171.8, 1.098033
25,RHO,0.0,0.0,13.471515
26,Q1,0.15,257.5,13.398661
27,T2,0.0,0.0,29.958933
28,R2,0.0,0.0,30.041067
29,2Q,0.0,0.0,12.854286
30,P1,0.49,275.7,14.958931
31,2SM2,0.0,0.0, 31.01590
32,M3,0.0,0.0,43.476158
33,L2,0.0,0.0,29.528479
34,2MK3,0.0,0.0, 42.92714
35,K2,0.33,331.7,30.082138
36,M8,0.0,0.0,115.93642
37,MS4,0.01,152.3,58.984104
